CancerTypes,cg00251716,cg01368075,cg02772121,cg04105511,cg04337594,cg06132620,cg06372779,cg06823060,cg06911354,cg07592254,cg08523456,cg10419849,cg10743291,cg11600734,cg14398860,cg14418633,cg15002250,cg15958289,cg18368125,cg18631798,cg19817912,cg20404260,cg20639396,cg24402880,cg24650915,cg25282976,cg25745246,cg26297005,cg26835683,cg27592331,sample_type
sarcoma,0.879107,0.922267,0.63912,0.880428,0.946962,0.914007,0.952547,0.917215,0.909083,0.784716,0.886105,0.924339,0.935791,0.111703,0.979803,0.10094,0.929806,0.0585823,0.93458,0.0569482,0.898612,0.839758,0.197169,0.471229,0.821002,0.959873,0.924464,0.936368,0.936503,0.90701,Primary Tumor
sarcoma,0.892137,0.333615,0.0852961,0.519603,0.878694,0.876107,0.921904,0.855597,0.0835835,0.892598,0.583551,0.926106,0.921743,0.196131,0.970412,0.248585,0.931375,0.371634,0.923809,0.150266,0.178887,0.318561,0.123384,0.807317,0.628593,0.0675214,0.876418,0.163164,0.924699,0.0752454,Primary Tumor
sarcoma,0.253155,0.791682,0.0447776,0.100017,0.799861,0.88767,0.888154,0.878116,0.0640449,0.43057,0.674833,0.74129,0.707675,0.466132,0.0256636,0.0556382,0.956189,0.317036,0.82806,0.180086,0.660911,0.894662,0.194348,0.411373,0.855442,0.0291086,0.0301074,0.516498,0.740102,0.0729401,Primary Tumor
sarcoma,0.897951,0.830979,0.418126,0.635142,0.908791,0.649253,0.890495,0.661872,0.75601,0.554027,0.826128,0.924588,0.92303,0.38093,0.981615,0.457209,0.926669,0.126578,0.942401,0.345213,0.913493,0.783281,0.471688,0.562382,0.791416,0.90566,0.901663,0.902481,0.913523,0.670012,Primary Tumor
sarcoma,0.930653,0.845857,0.946236,0.817864,0.913216,0.889837,0.83779,0.881683,0.888416,0.923778,0.885676,0.937792,0.693602,0.897698,0.954124,0.496302,0.913764,0.497003,0.944972,0.339165,0.82075,0.779767,0.654592,0.260969,0.833378,0.880558,0.930345,0.794237,0.659296,0.783326,Primary Tumor
sarcoma,0.940886,0.901321,0.599946,0.876587,0.934508,0.593193,0.946632,0.894507,0.908706,0.450084,0.915239,0.910153,0.928949,0.558464,0.981573,0.251277,0.127336,0.0628009,0.906423,0.100813,0.913884,0.828158,0.398768,0.896086,0.839956,0.873845,0.942649,0.902401,0.93484,0.0589843,Primary Tumor
sarcoma,0.910605,0.789064,0.396465,0.546734,0.908242,0.787891,0.901852,0.891225,0.569809,0.76456,0.947873,0.931623,0.923085,0.426999,0.972764,0.477094,0.925718,0.124817,0.955976,0.842343,0.915987,0.837311,0.575727,0.540322,0.863491,0.830894,0.844336,0.948944,0.942426,0.432904,Primary Tumor
sarcoma,0.444702,0.506122,0.644277,0.16386,0.946356,0.136126,0.799902,0.414966,0.789809,0.342531,0.935977,0.758273,0.844613,0.166995,0.981387,0.250948,0.950015,0.140247,0.945547,0.176867,0.911271,0.806381,0.870082,0.832612,0.826209,0.898664,0.546661,0.943323,0.365128,0.123858,Primary Tumor
sarcoma,0.902125,0.786514,0.392997,0.540305,0.874634,0.641328,0.788625,0.82329,0.364324,0.738024,0.873213,0.891354,0.918349,0.440263,0.97427,0.545698,0.936014,0.12411,0.910213,0.4167,0.864428,0.709897,0.6696,0.579826,0.656568,0.865124,0.94416,0.949491,0.766057,0.150628,Primary Tumor
sarcoma,0.736065,0.885955,0.925022,0.624564,0.549642,0.586166,0.873718,0.644359,0.800489,0.624628,0.841672,0.915373,0.698759,0.734796,0.98557,0.37224,0.893237,0.215255,0.94603,0.225815,0.904916,0.702167,0.551147,0.639428,0.743697,0.820235,0.476424,0.654229,0.881667,0.770662,Primary Tumor
sarcoma,0.884655,0.812667,0.733066,0.663827,0.93832,0.805131,0.800304,0.70989,0.786233,0.903585,0.913384,0.929122,0.930571,0.790379,0.945383,0.405875,0.938685,0.188778,0.957606,0.325806,0.956766,0.827648,0.716479,0.642978,0.939699,0.82981,0.887734,0.913019,0.902014,0.147364,Primary Tumor
sarcoma,0.813784,0.23374,0.941893,0.755969,0.927777,0.158725,0.770022,0.372193,0.71007,0.503103,0.887797,0.928891,0.867149,0.785957,0.975448,0.352615,0.901612,0.0625307,0.941097,0.147075,0.945163,0.745307,0.602868,0.867172,0.814603,0.884484,0.920031,0.964773,0.9247,0.352552,Primary Tumor
sarcoma,0.928029,0.897976,0.798017,0.746166,0.763274,0.853149,0.719762,0.927206,0.814602,0.49187,0.835064,0.93801,0.554614,0.885945,0.968591,0.461495,0.919069,0.150942,0.953747,0.174732,0.921419,0.838505,0.629659,0.82887,0.870778,0.852683,0.924563,0.947431,0.785534,0.105626,Primary Tumor
sarcoma,0.906015,0.792145,0.45625,0.928367,0.921,0.693315,0.922279,0.71937,0.931724,0.0736244,0.896669,0.925088,0.134216,0.590708,0.977179,0.551857,0.926559,0.0883918,0.925119,0.0374507,0.0845568,0.368732,0.700169,0.139179,0.817261,0.953431,0.929366,0.0505654,0.532673,0.915896,Primary Tumor
sarcoma,0.874674,0.802665,0.264025,0.778527,0.931126,0.786075,0.896764,0.904956,0.828531,0.275621,0.910107,0.859146,0.852204,0.833428,0.969249,0.258168,0.863234,0.120711,0.935623,0.135152,0.943173,0.670291,0.78905,0.449473,0.800572,0.72639,0.941701,0.945028,0.94246,0.2943,Primary Tumor
sarcoma,0.924981,0.778997,0.861573,0.541319,0.890406,0.768582,0.912862,0.82333,0.626618,0.892872,0.938617,0.933515,0.918797,0.520673,0.971775,0.465283,0.81256,0.292629,0.941146,0.423811,0.612348,0.733089,0.66425,0.668172,0.665888,0.57161,0.919857,0.472785,0.741318,0.207968,Primary Tumor
sarcoma,0.752012,0.879398,0.693896,0.845476,0.88094,0.699718,0.883814,0.699653,0.898922,0.454006,0.889947,0.898265,0.570086,0.74472,0.977748,0.307827,0.918055,0.195877,0.962353,0.245669,0.929275,0.725529,0.899031,0.835317,0.871452,0.782655,0.908622,0.964242,0.898953,0.825517,Primary Tumor
sarcoma,0.940374,0.82463,0.911059,0.198524,0.893924,0.117335,0.129366,0.91179,0.925705,0.945354,0.897401,0.91483,0.223017,0.123511,0.981464,0.0555548,0.933727,0.0579482,0.830835,0.0533615,0.902498,0.616888,0.228746,0.679312,0.663394,0.961812,0.897506,0.906349,0.852717,0.487496,Primary Tumor
sarcoma,0.289651,0.817554,0.971642,0.684421,0.886438,0.467881,0.673558,0.881701,0.882356,0.734717,0.922347,0.943088,0.88022,0.369468,0.974662,0.366179,0.899057,0.0864604,0.95823,0.195865,0.921739,0.737269,0.291163,0.902245,0.734318,0.803682,0.912493,0.938782,0.869686,0.885351,Primary Tumor
sarcoma,0.871351,0.867615,0.826934,0.74925,0.9222,0.741281,0.81331,0.874283,0.844918,0.480372,0.932699,0.930782,0.915321,0.140765,0.971901,0.285409,0.907049,0.0633703,0.949497,0.231122,0.912626,0.814951,0.325508,0.159782,0.712636,0.920277,0.957402,0.927459,0.916159,0.844496,Primary Tumor
sarcoma,0.862247,0.933605,0.913416,0.91812,0.895954,0.859198,0.698415,0.93265,0.92884,0.798549,0.92891,0.856241,0.924993,0.877742,0.967747,0.123899,0.946896,0.0482076,0.825584,0.0350086,0.938443,0.89272,0.399844,0.858207,0.885279,0.907084,0.950471,0.836124,0.950506,0.946553,Primary Tumor
sarcoma,0.872408,0.832851,0.460938,0.560299,0.846609,0.415749,0.834845,0.618885,0.571834,0.88503,0.923185,0.914359,0.823882,0.0744197,0.962015,0.439403,0.947141,0.0644328,0.938544,0.321288,0.918851,0.634406,0.156832,0.14953,0.655532,0.803148,0.943458,0.925415,0.843868,0.187907,Primary Tumor
sarcoma,0.901947,0.449124,0.803662,0.756828,0.889345,0.437868,0.912316,0.873786,0.786366,0.835427,0.784808,0.923522,0.444094,0.826695,0.97382,0.554875,0.840591,0.186494,0.863037,0.270127,0.355794,0.672687,0.836127,0.30639,0.778747,0.847225,0.868568,0.34908,0.521196,0.555327,Primary Tumor
sarcoma,0.91064,0.865441,0.0297581,0.368344,0.767385,0.370316,0.522516,0.818422,0.921838,0.821582,0.778438,0.87435,0.880815,0.0694113,0.962124,0.675169,0.93988,0.427715,0.447469,0.708452,0.877727,0.510694,0.225581,0.20944,0.666335,0.86145,0.840409,0.894663,0.403523,0.915408,Primary Tumor
sarcoma,0.380581,0.851448,0.0899703,0.783738,0.776019,0.482985,0.478302,0.787693,0.80886,0.289769,0.545005,0.83606,0.273996,0.372599,0.954106,0.277593,0.883903,0.0982887,0.790888,0.121177,0.868446,0.741289,0.831317,0.291754,0.456658,0.067717,0.577467,0.902363,0.320099,0.101222,Primary Tumor
sarcoma,0.708463,0.456883,0.178845,0.943201,0.936222,0.902495,0.643009,0.926055,0.921959,0.140464,0.924292,0.95176,0.245154,0.828769,0.975462,0.990395,0.972621,0.109347,0.94919,0.0617654,0.158571,0.529105,0.90464,0.718354,0.8827,0.968661,0.936187,0.0622901,0.898395,0.873871,Primary Tumor
sarcoma,0.882513,0.912731,0.891552,0.880235,0.943769,0.814467,0.879391,0.890377,0.88261,0.866858,0.942791,0.880933,0.887166,0.0754928,0.982576,0.272579,0.958716,0.332212,0.9496,0.535439,0.894261,0.858321,0.679178,0.892442,0.818085,0.951589,0.934394,0.947755,0.911626,0.737817,Primary Tumor
sarcoma,0.712476,0.905704,0.867771,0.651961,0.914207,0.644328,0.836621,0.814552,0.627356,0.827041,0.884432,0.903674,0.816778,0.570637,0.971972,0.341043,0.90384,0.153312,0.95727,0.175229,0.879883,0.719883,0.545791,0.774419,0.685659,0.767949,0.91903,0.917582,0.84924,0.81634,Primary Tumor
sarcoma,0.902228,0.392326,0.111679,0.695498,0.906208,0.815018,0.856356,0.930185,0.756278,0.577766,0.84345,0.921509,0.750589,0.346608,0.962576,0.381829,0.890919,0.391424,0.948279,0.847366,0.94247,0.776631,0.228844,0.421635,0.539188,0.886524,0.889897,0.923752,0.895747,0.403536,Primary Tumor
sarcoma,0.663018,0.874625,0.806248,0.912146,0.868367,0.608645,0.129551,0.853436,0.902044,0.388376,0.711349,0.91363,0.459806,0.265922,0.952435,0.130449,0.93654,0.0746172,0.939738,0.0410496,0.913552,0.878003,0.202066,0.0910503,0.858171,0.117084,0.557083,0.944781,0.921859,0.913071,Primary Tumor
sarcoma,0.911001,0.90555,0.96348,0.918837,0.932281,0.841737,0.916132,0.56548,0.934077,0.162537,0.926277,0.118099,0.435322,0.405029,0.977474,0.988161,0.933994,0.418244,0.964438,0.285496,0.930599,0.796651,0.424566,0.866259,0.300574,0.831843,0.916338,0.940932,0.355265,0.100361,Primary Tumor
sarcoma,0.922524,0.913997,0.274726,0.75038,0.848227,0.802967,0.919579,0.893303,0.893827,0.493993,0.919985,0.948839,0.91479,0.240285,0.982775,0.418121,0.882763,0.391142,0.945193,0.180763,0.840305,0.745445,0.278205,0.328493,0.579573,0.827125,0.938118,0.844388,0.902911,0.663367,Primary Tumor
sarcoma,0.899763,0.565964,0.741158,0.658171,0.913616,0.623573,0.368307,0.764166,0.691284,0.874521,0.898303,0.888406,0.517075,0.661459,0.971319,0.374924,0.901983,0.315097,0.924175,0.233291,0.875347,0.620489,0.615165,0.383712,0.751248,0.738518,0.895173,0.899382,0.365016,0.636748,Primary Tumor
sarcoma,0.827211,0.737353,0.875719,0.841348,0.878532,0.285415,0.782753,0.745796,0.798285,0.864547,0.858949,0.857189,0.706686,0.827044,0.943827,0.185669,0.94196,0.171531,0.946577,0.0865645,0.922734,0.857008,0.819686,0.791253,0.911859,0.83293,0.946332,0.939644,0.913267,0.677611,Primary Tumor
sarcoma,0.933804,0.884976,0.412656,0.92999,0.926573,0.911745,0.92573,0.93394,0.882354,0.835384,0.910848,0.917027,0.942085,0.86082,0.971248,0.100677,0.943412,0.0709188,0.939045,0.406552,0.928637,0.878311,0.454496,0.759111,0.87888,0.944448,0.900312,0.927237,0.94596,0.915381,Primary Tumor
sarcoma,0.928289,0.900414,0.0724477,0.575386,0.832782,0.626745,0.860986,0.888394,0.90908,0.438837,0.936099,0.923299,0.902196,0.788694,0.848618,0.565648,0.911377,0.279603,0.878135,0.322695,0.946959,0.692478,0.461898,0.859675,0.698236,0.809181,0.690598,0.966141,0.885339,0.876742,Primary Tumor
sarcoma,0.914872,0.91022,0.241783,0.886459,0.909378,0.711479,0.479479,0.846081,0.876694,0.626252,0.740191,0.92585,0.590073,0.0667221,0.968756,0.184724,0.951105,0.0517862,0.694793,0.128896,0.553139,0.888467,0.424197,0.282877,0.542569,0.829479,0.902091,0.881548,0.799048,0.616292,Primary Tumor
sarcoma,0.941834,0.916834,0.9486,0.857315,0.945837,0.938746,0.911922,0.942943,0.936917,0.954521,0.931739,0.95854,0.26425,0.950648,0.978318,0.0610538,0.960295,0.67546,0.950128,0.0306325,0.922302,0.898674,0.861488,0.864787,0.884938,0.973762,0.928756,0.935256,0.919002,0.949371,Primary Tumor
sarcoma,0.877789,0.897394,0.551656,0.846079,0.93404,0.883674,0.930772,0.933317,0.854997,0.135332,0.924225,0.841459,0.913528,0.376873,0.956517,0.0984347,0.957425,0.0320786,0.956103,0.248927,0.942111,0.886217,0.762866,0.86809,0.822706,0.83118,0.940075,0.950866,0.945607,0.91767,Primary Tumor
sarcoma,0.862266,0.848191,0.249757,0.733738,0.941675,0.81247,0.834533,0.852895,0.88572,0.767119,0.935241,0.893168,0.926345,0.200476,0.971128,0.298052,0.885641,0.121205,0.940632,0.187334,0.916693,0.77174,0.28577,0.866782,0.662216,0.741988,0.917336,0.910443,0.934032,0.389771,Primary Tumor
sarcoma,0.905945,0.906599,0.959616,0.919315,0.917387,0.063036,0.146173,0.803692,0.941281,0.678683,0.922935,0.914025,0.239575,0.114603,0.97134,0.955514,0.938063,0.0662527,0.959316,0.0292137,0.936095,0.213172,0.296214,0.758699,0.897064,0.979693,0.9238,0.92366,0.890805,0.90291,Primary Tumor
sarcoma,0.910931,0.864757,0.247736,0.738922,0.755641,0.595912,0.908926,0.482208,0.884875,0.760009,0.795094,0.80219,0.76951,0.232601,0.977318,0.336193,0.88913,0.175206,0.921601,0.226125,0.872742,0.645412,0.523407,0.324484,0.463003,0.140554,0.909581,0.914468,0.804168,0.343234,Primary Tumor
sarcoma,0.908051,0.853953,0.859412,0.70186,0.934122,0.830527,0.810911,0.852932,0.839962,0.754955,0.915575,0.925421,0.856257,0.458963,0.954467,0.353553,0.902088,0.159401,0.960365,0.130094,0.943983,0.699961,0.811745,0.563785,0.789248,0.761639,0.947585,0.882733,0.737211,0.553152,Primary Tumor
sarcoma,0.892144,0.446423,0.959297,0.14677,0.916221,0.896183,0.910122,0.874119,0.853229,0.805979,0.895072,0.927474,0.831048,0.865199,0.961342,0.14657,0.901797,0.133792,0.915636,0.100263,0.937142,0.7956,0.136232,0.390542,0.796815,0.84062,0.897782,0.920399,0.707467,0.794998,Primary Tumor
sarcoma,0.947559,0.942458,0.972523,0.0656435,0.933355,0.933448,0.954553,0.941879,0.948178,0.560828,0.961461,0.96195,0.306831,0.917824,0.978184,0.113356,0.952848,0.602855,0.9598,0.0578321,0.933072,0.919779,0.167287,0.727956,0.895041,0.971321,0.938839,0.944765,0.754279,0.0827549,Primary Tumor
sarcoma,0.900456,0.48112,0.957854,0.80783,0.906102,0.834013,0.886345,0.877342,0.826693,0.71288,0.807325,0.93577,0.503696,0.875529,0.971432,0.346079,0.920045,0.276451,0.946255,0.289668,0.901823,0.852505,0.604962,0.830821,0.830357,0.892405,0.910344,0.930323,0.608275,0.909174,Primary Tumor
sarcoma,0.939928,0.933714,0.974224,0.930018,0.933423,0.933457,0.93031,0.941216,0.930244,0.704996,0.927517,0.934366,0.926334,0.937499,0.898654,0.0655034,0.925982,0.121535,0.935871,0.0772453,0.175329,0.870859,0.0827322,0.825491,0.887551,0.962612,0.913926,0.198504,0.68368,0.954969,Primary Tumor
sarcoma,0.889471,0.844213,0.576462,0.720601,0.885557,0.657126,0.890939,0.76509,0.876833,0.666736,0.848904,0.921402,0.935699,0.694264,0.978999,0.320496,0.839923,0.187142,0.932722,0.254497,0.906295,0.681135,0.73942,0.810456,0.696036,0.598597,0.91413,0.903986,0.825444,0.762251,Primary Tumor
sarcoma,0.826166,0.873202,0.937409,0.795381,0.906966,0.73366,0.889845,0.825654,0.882764,0.90765,0.948443,0.909811,0.858593,0.750191,0.977828,0.353741,0.866593,0.26663,0.959913,0.734714,0.902409,0.757275,0.677256,0.820451,0.798872,0.799164,0.93083,0.884123,0.862563,0.657148,Primary Tumor
sarcoma,0.943818,0.917844,0.945971,0.642151,0.924733,0.901567,0.166992,0.83773,0.922635,0.935899,0.824484,0.939858,0.468548,0.938036,0.969779,0.191705,0.846883,0.28834,0.945751,0.668212,0.907426,0.798549,0.636946,0.41121,0.83994,0.887607,0.920851,0.902713,0.853252,0.797326,Primary Tumor
sarcoma,0.87697,0.885966,0.95747,0.802347,0.918721,0.852667,0.906411,0.889404,0.360329,0.402225,0.929822,0.893283,0.522049,0.492081,0.978943,0.253636,0.826899,0.189097,0.932023,0.137839,0.671214,0.703396,0.589494,0.196095,0.620817,0.901988,0.845147,0.891723,0.918117,0.297232,Primary Tumor
sarcoma,0.705897,0.616004,0.153103,0.636706,0.656521,0.785118,0.548799,0.905163,0.92711,0.383899,0.860733,0.678525,0.278917,0.718567,0.962713,0.257048,0.898887,0.275629,0.933583,0.0981221,0.931095,0.465608,0.867008,0.690541,0.521064,0.611395,0.921154,0.906174,0.684701,0.258027,Primary Tumor
sarcoma,0.898563,0.919397,0.955202,0.434917,0.909648,0.185638,0.928749,0.933032,0.90591,0.808244,0.702194,0.943485,0.928593,0.877174,0.976397,0.147479,0.918188,0.746091,0.955985,0.0872956,0.945155,0.878317,0.899,0.932385,0.829912,0.930152,0.921749,0.942989,0.465872,0.889304,Primary Tumor
sarcoma,0.832611,0.894583,0.971129,0.908083,0.922176,0.889814,0.931717,0.806471,0.92077,0.84115,0.719766,0.90123,0.942826,0.746193,0.971781,0.104322,0.928224,0.0516416,0.931547,0.0399661,0.926772,0.808786,0.899459,0.771377,0.84528,0.958264,0.933006,0.769721,0.807849,0.948565,Primary Tumor
sarcoma,0.95239,0.903204,0.971485,0.805095,0.908706,0.884528,0.934136,0.700816,0.87313,0.950042,0.436301,0.935804,0.722875,0.887049,0.977845,0.370717,0.874943,0.24351,0.94457,0.240909,0.317362,0.763122,0.789013,0.803684,0.824542,0.776346,0.946574,0.300282,0.474766,0.118224,Primary Tumor
sarcoma,0.927727,0.892508,0.901292,0.906096,0.891781,0.943625,0.541915,0.938022,0.920741,0.661932,0.922959,0.917359,0.833986,0.950787,0.958512,0.254347,0.956465,0.775672,0.958019,0.42153,0.921241,0.922639,0.230254,0.38628,0.91781,0.948579,0.930392,0.954322,0.594225,0.23212,Primary Tumor
sarcoma,0.896267,0.899237,0.135697,0.817211,0.872584,0.803855,0.93454,0.914562,0.9075,0.25149,0.911498,0.923608,0.915317,0.856184,0.970482,0.184654,0.945652,0.0844448,0.95099,0.947461,0.907935,0.812644,0.697669,0.795093,0.772143,0.871176,0.930886,0.934726,0.929939,0.939382,Primary Tumor
sarcoma,0.757448,0.789192,0.453525,0.306207,0.871452,0.561972,0.912759,0.812551,0.350828,0.906282,0.933461,0.925727,0.901364,0.61811,0.98089,0.750192,0.885521,0.258829,0.90259,0.647151,0.696378,0.635607,0.706441,0.482496,0.772408,0.675729,0.822505,0.700235,0.889941,0.166465,Primary Tumor
sarcoma,0.944011,0.919439,0.945946,0.881292,0.492027,0.900415,0.628923,0.938515,0.897088,0.629657,0.919397,0.926236,0.700662,0.93042,0.958654,0.20792,0.945514,0.0614975,0.958388,0.0529901,0.932379,0.88574,0.899479,0.917022,0.917379,0.968633,0.94441,0.950135,0.602617,0.0738194,Primary Tumor
sarcoma,0.907539,0.83731,0.952653,0.750641,0.784176,0.834781,0.368253,0.788525,0.844214,0.936049,0.930744,0.921381,0.9327,0.711534,0.977096,0.303489,0.94036,0.0875057,0.946474,0.259366,0.944149,0.665429,0.593416,0.89642,0.697141,0.700908,0.940985,0.954723,0.922279,0.888839,Primary Tumor
sarcoma,0.840647,0.824605,0.846508,0.759234,0.931579,0.810188,0.9332,0.849638,0.864327,0.915857,0.933404,0.934993,0.925242,0.754335,0.97903,0.319705,0.828262,0.208172,0.946038,0.193176,0.837349,0.635049,0.844427,0.903642,0.780416,0.798774,0.925679,0.835663,0.882742,0.484789,Primary Tumor
sarcoma,0.881761,0.843158,0.194616,0.835411,0.923878,0.813897,0.763115,0.911748,0.695198,0.857888,0.909358,0.896379,0.767451,0.241356,0.942153,0.404744,0.947646,0.0595138,0.958379,0.141302,0.937689,0.802582,0.178186,0.732233,0.831537,0.815373,0.929985,0.939864,0.900824,0.532994,Primary Tumor
sarcoma,0.795617,0.824432,0.0809346,0.680252,0.395217,0.486356,0.671028,0.912812,0.659105,0.298377,0.92297,0.913212,0.813944,0.227543,0.974764,0.192079,0.941177,0.0646518,0.945736,0.0648682,0.933596,0.765505,0.26539,0.416187,0.485239,0.543071,0.907496,0.947835,0.816697,0.910364,Primary Tumor
sarcoma,0.945863,0.91082,0.958062,0.893452,0.941753,0.903613,0.674615,0.894181,0.925896,0.507427,0.928485,0.946378,0.925208,0.821305,0.961867,0.254796,0.919172,0.511046,0.94043,0.523381,0.94348,0.823983,0.890621,0.858897,0.828563,0.916217,0.948648,0.921942,0.665734,0.90715,Primary Tumor
sarcoma,0.936579,0.915167,0.8903,0.795126,0.911869,0.852044,0.91043,0.896159,0.840725,0.665174,0.939751,0.939854,0.484297,0.857624,0.969657,0.316818,0.937268,0.286124,0.931333,0.321925,0.937987,0.83684,0.376189,0.889936,0.908576,0.923651,0.93293,0.943354,0.937349,0.877912,Primary Tumor
sarcoma,0.891245,0.848582,0.382396,0.615789,0.87795,0.601546,0.745684,0.7623,0.67169,0.526395,0.913643,0.86736,0.894161,0.125141,0.969706,0.449843,0.924935,0.0717922,0.931971,0.524505,0.895517,0.708008,0.334446,0.726131,0.513888,0.815108,0.895854,0.89437,0.925608,0.663956,Primary Tumor
sarcoma,0.943268,0.183749,0.975991,0.908541,0.897954,0.899536,0.454407,0.939346,0.939489,0.961654,0.954182,0.8899,0.188514,0.666236,0.98695,0.178323,0.951747,0.924334,0.951658,0.0584815,0.928822,0.905231,0.904196,0.922869,0.759516,0.965174,0.929476,0.936109,0.307313,0.727953,Primary Tumor
sarcoma,0.376835,0.87166,0.949243,0.508119,0.481307,0.543957,0.821018,0.357142,0.676121,0.600067,0.331447,0.901875,0.60272,0.545836,0.970426,0.390114,0.383178,0.102321,0.916702,0.289545,0.387361,0.484517,0.331019,0.782314,0.324404,0.74776,0.858812,0.404498,0.848569,0.099497,Primary Tumor
sarcoma,0.665483,0.864449,0.888946,0.535437,0.838966,0.60912,0.857176,0.553742,0.900822,0.827694,0.944658,0.915556,0.784207,0.207218,0.972739,0.358288,0.889998,0.151367,0.96518,0.312397,0.940425,0.751731,0.399386,0.236568,0.725018,0.782919,0.929194,0.92185,0.85753,0.766023,Primary Tumor
sarcoma,0.891142,0.898811,0.930974,0.92935,0.877758,0.897785,0.746605,0.922009,0.884194,0.843834,0.926066,0.911263,0.668283,0.522105,0.968482,0.0746614,0.959751,0.0712001,0.964179,0.047475,0.876189,0.893148,0.732521,0.721841,0.927272,0.927674,0.910842,0.850918,0.933339,0.941842,Primary Tumor
sarcoma,0.923319,0.836691,0.933551,0.760309,0.921346,0.673701,0.936119,0.848981,0.806217,0.897369,0.929163,0.934203,0.959555,0.541529,0.983665,0.474808,0.903397,0.129605,0.943858,0.316473,0.773112,0.722478,0.854557,0.785497,0.764065,0.767226,0.908191,0.746031,0.934192,0.1843,Primary Tumor
sarcoma,0.947143,0.604406,0.945902,0.83148,0.918266,0.779392,0.913064,0.91081,0.877362,0.923459,0.803655,0.922768,0.597021,0.653946,0.969273,0.30894,0.921834,0.0666423,0.943092,0.180921,0.915179,0.82872,0.733628,0.775122,0.880454,0.914469,0.936298,0.924759,0.73505,0.739337,Primary Tumor
sarcoma,0.892647,0.866934,0.878849,0.769811,0.933459,0.815276,0.927483,0.916027,0.806496,0.940496,0.938946,0.931309,0.909705,0.0871954,0.973938,0.344155,0.894467,0.0663838,0.917586,0.246699,0.930097,0.750964,0.574926,0.720673,0.626128,0.858875,0.930782,0.788827,0.896356,0.551168,Primary Tumor
sarcoma,0.791349,0.766268,0.629892,0.531029,0.874722,0.53469,0.814735,0.834585,0.801591,0.874974,0.932551,0.920812,0.904352,0.322628,0.980572,0.453006,0.899677,0.277692,0.92139,0.341121,0.826598,0.69171,0.48521,0.633023,0.818765,0.840336,0.837792,0.886874,0.836732,0.845978,Primary Tumor
sarcoma,0.950005,0.91447,0.780247,0.825127,0.864805,0.786474,0.89497,0.882175,0.798434,0.87576,0.95056,0.928474,0.485266,0.645555,0.972356,0.29166,0.945278,0.172461,0.932737,0.0982973,0.947856,0.852479,0.901312,0.844717,0.790086,0.885199,0.929791,0.932341,0.423453,0.129306,Primary Tumor
sarcoma,0.887795,0.922053,0.940452,0.867497,0.926006,0.881578,0.875555,0.914747,0.875734,0.936327,0.921765,0.92416,0.871904,0.922394,0.96222,0.045445,0.947969,0.240438,0.943132,0.900508,0.930977,0.86829,0.238274,0.595164,0.860975,0.957165,0.936655,0.901313,0.926546,0.0645462,Primary Tumor
sarcoma,0.909261,0.930649,0.958792,0.446599,0.939624,0.950366,0.864886,0.923694,0.942263,0.960064,0.811087,0.936723,0.324587,0.205774,0.959799,0.0214628,0.948876,0.265648,0.954032,0.0239919,0.920791,0.903504,0.233222,0.922199,0.899967,0.969318,0.926759,0.95112,0.818868,0.944229,Primary Tumor
sarcoma,0.913112,0.852051,0.927558,0.75884,0.909844,0.673615,0.947726,0.64862,0.820626,0.318774,0.934866,0.927007,0.890346,0.49197,0.972673,0.441669,0.943782,0.317,0.953671,0.25545,0.934315,0.706769,0.833883,0.650314,0.686866,0.803443,0.885328,0.930618,0.942542,0.691836,Primary Tumor
sarcoma,0.910107,0.914018,0.965263,0.934007,0.745393,0.44284,0.80013,0.933726,0.927724,0.741704,0.107513,0.946484,0.168491,0.797248,0.966421,0.985815,0.961471,0.0401607,0.958552,0.0470027,0.948682,0.768986,0.557546,0.538912,0.667183,0.836494,0.941019,0.945317,0.577166,0.96446,Primary Tumor
sarcoma,0.930122,0.933494,0.947794,0.832504,0.942882,0.913721,0.938832,0.928313,0.92352,0.944951,0.919264,0.936425,0.858168,0.866774,0.973726,0.23611,0.878674,0.746523,0.95894,0.171818,0.940673,0.799117,0.153378,0.397295,0.829654,0.877885,0.953542,0.89626,0.918037,0.447387,Primary Tumor
sarcoma,0.895833,0.918822,0.949718,0.914417,0.915206,0.932066,0.84062,0.939099,0.880127,0.927321,0.296458,0.917585,0.324981,0.893776,0.978255,0.423916,0.94018,0.0783831,0.965517,0.0430226,0.915537,0.734627,0.263227,0.513561,0.899268,0.750917,0.950487,0.908824,0.851868,0.935481,Primary Tumor
sarcoma,0.950388,0.923596,0.961166,0.632276,0.935216,0.890461,0.935947,0.833681,0.936948,0.951403,0.22808,0.951959,0.424343,0.497753,0.951813,0.0666589,0.92382,0.63736,0.9379,0.037242,0.933007,0.901933,0.301696,0.526896,0.885377,0.956511,0.940177,0.933962,0.903498,0.918067,Primary Tumor
sarcoma,0.928841,0.889841,0.944333,0.856514,0.942732,0.865056,0.919035,0.928877,0.909477,0.950598,0.636908,0.94165,0.622441,0.832401,0.969895,0.248481,0.889427,0.60913,0.937187,0.188183,0.922769,0.787118,0.779273,0.773821,0.80839,0.881458,0.94549,0.925057,0.821783,0.277051,Primary Tumor
